model_name,acc,MR1,MR1_acc,MR1_correct,MR1_incorrect,non_MR1,non_MR1_acc,non_MR1_correct,non_MR1_incorrect,MR2,MR2_acc,MR2_correct,MR2_incorrect,non_MR2,non_MR2_acc,non_MR2_correct,non_MR2_incorrect,MR1&2,MR1&2_acc,MR1&2_correct,MR1&2_incorrect,non_MR1&2,non_MR1&2_acc,non_MR1&2_correct,non_MR1&2_incorrect,acc_num
xception,79.022%,1336,28.219%,377,959,48664,80.417%,39134,9530,9018,45.509%,4104,4914,40982,86.396%,35407,5575,1145,20.000%,229,916,48855,80.405%,39282,9573,39511
vgg16,71.268%,1192,21.728%,259,933,48808,72.478%,35375,13433,13125,41.097%,5394,7731,36875,82.007%,30240,6635,1136,20.070%,228,908,48864,72.458%,35406,13458,35634
vgg19,71.256%,1222,20.622%,252,970,48778,72.524%,35376,13402,13333,42.211%,5628,7705,36667,81.817%,30000,6667,1163,18.831%,219,944,48837,72.504%,35409,13428,35628
resnet50,74.928%,1177,21.580%,254,923,48823,76.214%,37210,11613,11668,44.978%,5248,6420,38332,84.045%,32216,6116,1084,18.173%,197,887,48916,76.186%,37267,11649,37464
resnet101,76.420%,1302,26.344%,343,959,48698,77.759%,37867,10831,10867,45.477%,4942,5925,39133,85.013%,33268,5865,1192,22.483%,268,924,48808,77.737%,37942,10866,38210
resnet152,76.604%,1286,26.128%,336,950,48714,77.937%,37966,10748,10533,44.878%,4727,5806,39467,85.071%,33575,5892,1181,22.523%,266,915,48819,77.912%,38036,10783,38302
resnet50_v2,75.344%,1265,19.921%,252,1013,48735,76.783%,37420,11315,11663,46.189%,5387,6276,38337,84.214%,32285,6052,1195,17.824%,213,982,48805,76.752%,37459,11346,37672
resnet101_v2,76.890%,1295,21.158%,274,1021,48705,78.372%,38171,10534,10225,45.046%,4606,5619,39775,85.076%,33839,5936,1194,17.755%,212,982,48806,78.337%,38233,10573,38445
resnet152_v2,77.730%,1384,23.194%,321,1063,48616,79.283%,38544,10072,9650,45.513%,4392,5258,40350,85.435%,34473,5877,1277,19.734%,252,1025,48723,79.250%,38613,10110,38865
inception_v3,77.866%,1353,30.007%,406,947,48647,79.197%,38527,10120,10127,46.045%,4663,5464,39873,85.948%,34270,5603,1193,24.476%,292,901,48807,79.171%,38641,10166,38933
inception_resnet_v2,80.414%,1618,42.522%,688,930,48382,81.681%,39519,8863,8429,47.431%,3998,4431,41571,87.102%,36209,5362,1278,30.360%,388,890,48722,81.727%,39819,8903,40207
mobilenet,70.338%,1042,21.497%,224,818,48958,71.378%,34945,14013,15459,42.836%,6622,8837,34541,82.647%,28547,5994,999,19.520%,195,804,49001,71.374%,34974,14027,35169
mobilenet_v2,71.192%,1203,23.441%,282,921,48797,72.369%,35314,13483,14476,44.467%,6437,8039,35524,82.083%,29159,6365,1120,20.089%,225,895,48880,72.363%,35371,13509,35596
densenet121,74.972%,1268,22.319%,283,985,48732,76.342%,37203,11529,10383,41.886%,4349,6034,39617,83.643%,33137,6480,1169,18.734%,219,950,48831,76.318%,37267,11564,37486
densenet169,76.176%,1298,26.194%,340,958,48702,77.508%,37748,10954,9886,42.019%,4154,5732,40114,84.594%,33934,6180,1184,22.297%,264,920,48816,77.483%,37824,10992,38088
densenet201,77.318%,1282,26.053%,334,948,48718,78.667%,38325,10393,9633,44.597%,4296,5337,40367,85.126%,34363,6004,1164,22.337%,260,904,48836,78.628%,38399,10437,38659
nasnet_mobile,73.772%,1395,33.118%,462,933,48605,74.939%,36424,12181,14087,46.177%,6505,7582,35913,84.596%,30381,5532,1260,27.381%,345,915,48740,74.971%,36541,12199,36886
nasnet_large,82.676%,1765,46.742%,825,940,48235,83.991%,40513,7722,7350,49.442%,3634,3716,42650,88.403%,37704,4946,1266,30.253%,383,883,48734,84.038%,40955,7779,41338